key,name
place_0001,Aachen
place_0002,Aarau
place_0002,Arau
place_0003,Altenstein
place_0005,Alsleben
place_0006,Altdorf
place_0007,Altenburg
place_0008,Altona
place_0009,Alzey
place_0010,Amberg
place_0011,Amsterd
place_0011,Amsterdam
place_0012,Andernach
place_0013,Anclam
place_0013,Anklam
place_0014,Annaberg
place_0015,Ansbach
place_0016,Antwerpen
place_0017,Apolda
place_0018,Arnheim
place_0018,Arnhem
place_0019,Arensberg
place_0019,Arnsberg
place_0020,Arnstadt
place_0021,Arnswalde
place_0022,Arolsen
place_0023,Arys
place_0024,Aschaffenburg
place_0025,Aschersleben
place_0026,Augsb
place_0026,Augsburg
place_0027,Aurich
place_0028,Aussig
place_0029,Bad Kreuznach
place_0030,Baden
place_0031,Baden-Baden
place_0032,Ballenstedt
place_0033,Bamberg
place_0034,Barmen
place_0035,Basel
place_0036,Bautzen
place_0037,Baireuth
place_0037,Bayreuth
place_0038,Belgrad
place_0039,Belle-Vue
place_0041,Bercy
place_0042,Bergedorf
place_0043,Bergen
place_0044,Belin
place_0044,Berl
place_0044,Berli
place_0044,Berlin
place_0044,Berlin
place_0044,Perlin
place_0045,Coepenick
place_0045,Köpenick
place_0046,Berlin-Lichterfelde
place_0046,Gr. Lichterfelde
place_0046,Gr.-Lichterfelde
place_0046,Gross-Lichterfelde
place_0046,Lichterfelde
place_0047,Berlin-Rixdorf
place_0047,Rixdorf-Berlin
place_0048,Schöneberg
place_0049,Zehlendorf
place_0050,Bern
place_0051,Bernburg
place_0052,Berum
place_0053,Bethel bei Bielefeld
place_0055,Biberach
place_0056,Biel
place_0057,Bielefeld
place_0058,Bielitz
place_0059,Bingen
place_0060,Binningen
place_0061,Birkenfeld
place_0062,Bitterfeld
place_0063,Blankenburg
place_0064,Dresden-Blasewitz
place_0066,Bochum
place_0067,Bockenheim
place_0068,Bologna
place_0069,Bonn
place_0069,Bonu
place_0070,Bonndorf
place_0071,Boppard
place_0072,Borna
place_0073,Boston
place_0074,Bozen
place_0075,Bradford
place_0076,Brandenburg
place_0076,Brandenburg a. H
place_0077,Braunsberg
place_0078,Brannschweig
place_0078,Branschweig
place_0078,Brauns
place_0078,Braunsch
place_0078,Braunschw
place_0078,Braunschweig
place_0078,Braunschweìg
place_0078,Braunschwein
place_0078,Brschw
place_0079,Bregenz
place_0080,Br
place_0080,Bremen
place_0081,Bremerhafen
place_0081,Bremerhaven
place_0082,Bresl
place_0082,Breslan
place_0082,Breslau
place_0082,Bréslau
place_0082,reslau
place_0083,Brieg
place_0084,Brixen
place_0085,Bromberg
place_0088,Brünn
place_0089,Brüssel
place_0089,Brüssel
place_0089,Bruxelles
place_0090,Bucarest
place_0090,Bukarest
place_0091,Buchholz
place_0092,Budapest
place_0092,Budapest
place_0092,Budápest
place_0092,Budaqest
place_0093,Budweis
place_0094,Bunzlau
place_0095,Burg
place_0096,Burgdorf
place_0097,Burgstädt
place_0098,Buslar
place_0099,Butzbach
place_0101,Böhm.
place_0101,Böhm.-Leipa
place_0102,Bühl
place_0103,Büren
place_0105,Cammin
place_0107,Carlsfeld
place_0108,Celle
place_0109,Berlin-Charlottenburg
place_0109,Charlottenburg
place_0110,Altchemnitz
place_0110,Chemnitz
place_0111,Chicago
place_0112,Christiania
place_0113,Chur
place_0115,Clausthal
place_0117,Coburg
place_0117,Koburg
place_0118,Coesfeld
place_0119,Colmar
place_0119,Colmar i./E
place_0119,Colmar i/E
place_0119,Kolmar
place_0120,Cosel
place_0121,Cottbus
place_0121,Cottbus
place_0121,Cottbuss
place_0123,Crossen
place_0123,Crossen a/O
place_0124,Czarnikau
place_0125,Czernowitz
place_0126,Daaden
place_0127,Danzig
place_0128,Darmstadt
place_0129,Davos
place_0130,Debreczin
place_0130,Debreszin
place_0131,Delitzsch
place_0132,Demmin
place_0133,Dessau
place_0134,Detmold
place_0135,Deutsch-Krone
place_0136,Diedenhofen
place_0136,Diedenhoven
place_0136,Dietenhofen
place_0137,Dillenburg
place_0138,Dillingen
place_0139,Dinslaken
place_0140,Donaueschingen
place_0141,Donauwörth
place_0142,Dordrecht
place_0143,Dorpat
place_0144,Dortmund
place_0146,Drebkau
place_0147,Dres-
place_0147,Dresd
place_0147,Dresden
place_0147,Dresden
place_0147,Dresdon
place_0147,Drsd
place_0148,Gruna-Dresden
place_0149,Dresden-N
place_0150,Dresden-Pieschen
place_0151,Duderstedt
place_0152,Duisburg
place_0153,Döbeln
place_0154,Dölzig
place_0155,Dülmen
place_0156,Düren
place_0157,Düsseldorf
place_0157,Düsseldorff
place_0158,Ebersbach i/S
place_0158,Ebersbach i/S.
place_0159,Eberswalde
place_0161,Eckernförde
place_0163,Eger
place_0165,Eichstädt
place_0165,Eichstätt
place_0166,Eimbeck
place_0167,Einsiedeln
place_0168,Eisenach
place_0169,Eisenberg
place_0170,Eisleb
place_0170,Eisleben
place_0171,Elberf
place_0171,Elberfeld
place_0171,Elberfeldt
place_0172,Elbing
place_0173,Elbogen
place_0174,Ellwangen
place_0175,Elmshorn
place_0176,Elnbogen
place_0177,Emden
place_0178,Emmerich
place_0179,Bad-Ems
place_0179,Ems
place_0180,Erding
place_0181,Erf
place_0181,Erfurt
place_0181,Ersfurt
place_0182,Erlangen
place_0183,Erlau
place_0184,Essen
place_0184,Esser
place_0185,Esslingen
place_0186,Eutin
place_0187,Eutritzsch
place_0187,Eutritzsch-Leipzig
place_0188,Eythra
place_0189,Falkenberg
place_0191,Finsterwalde
place_0192,Fiume
place_0193,Flawyl
place_0194,Flensburg
place_0195,Florenz
place_0196,Forst
place_0197,Frankenberg
place_0197,Frankenberg i./S
place_0197,Frankenberg i/S
place_0198,Frankenhausen
place_0199,Frankf
place_0199,Frankfnrt
place_0199,Frankfurt
place_0200,Fkf. a/M
place_0200,Franfkurt a/M
place_0200,Frankf. a. M
place_0200,Frankf. a/M
place_0200,"Frankf., a. M"
place_0200,Frankfurt
place_0200,Frankfurt a M
place_0200,Frankfurt a.
place_0200,Frankfurt a. M
place_0200,Frankfurt a./M
place_0200,Frankfurt a/M
place_0200,Frankfurt a/M
place_0200,Frankfurt a/M.
place_0200,Frankturt a/M.
place_0200,Frkf. a/M
place_0201,Fankf. a. d. O
place_0201,Fkf. a/O
place_0201,Frank a/O
place_0201,Frankf. a. d. O
place_0201,Frankf. a. O
place_0201,Frankf. a/O
place_0201,Frankfart a/O.
place_0201,Frankfurt
place_0201,Frankfurt a O
place_0201,"Frankfurt a, O"
place_0201,Frankfurt a. d.
place_0201,Frankfurt a. d. O
place_0201,Frankfurt a. O
place_0201,Frankfurt a./O
place_0201,Frankfurt a/O
place_0201,Frankfurt a/O.
place_0201,Frankfurt. a/O
place_0201,Frkf. a. O
place_0202,Frauenfeld
place_0203,Fraustadt
place_0205,Freiberg
place_0206,Freiburg
place_0206,Freiburg
place_0206,Freiburg i. B
place_0206,Freiburg i./Br
place_0206,Freiburg i/B
place_0206,Freiburg i/Br
place_0206,Freiburg i/Br.
place_0206,"Freiburg, i/B"
place_0207,Freienwalde
place_0207,Freienwalde a/O
place_0208,Freising
place_0209,Freiwaldau
place_0210,Freudenthal
place_0211,Freiburg (Schweiz)
place_0212,Friedberg
place_0214,Friedek
place_0215,Friedland
place_0217,Friedrichshafen
place_0218,Fulda
place_0219,Fürstenwalde
place_0220,Fürth
place_0221,Gablonz
place_0221,Gablonz a/N
place_0223,Geestemünde
place_0224,Gelsenkirchen
place_0225,Genf
place_0226,Gand
place_0226,Gent
place_0227,Genua
place_0228,Gera
place_0229,Giessen
place_0232,Glatz
place_0233,Glaucha
place_0233,Glauchau
place_0234,Gleiwitz
place_0235,Glogau
place_0236,Glückstadt
place_0238,Godesberg
place_0240,Goslar
place_0241,Gotha
place_0242,Gothenburg
place_0243,Gran
place_0244,Graudenz
place_0245,Gratz
place_0245,Grätz
place_0245,Graz
place_0247,Greifswald
place_0248,Greitz
place_0248,Greiz
place_0249,Grimma
place_0250,Gr.-Strehlitz
place_0250,Gross-Strehlitz
place_0250,Strehlitz
place_0251,Grossenhain
place_0252,Gr. Kanizsa
place_0252,Gr.-Kanizsa
place_0253,Groningen
place_0253,Gröningen
place_0254,Grünberg
place_0255,Guben
place_0256,Guhrau
place_0257,Gumbinnen
place_0259,Göppingen
place_0260,Görlitz
place_0261,Görz
place_0262,Göttingen
place_0263,Güns
place_0264,Güstrow
place_0265,Güterloh
place_0265,Gütersloch
place_0265,Gütersloh
place_0266,Gravenhage
place_0266,Haag
place_0267,Neustadt a/H
place_0269,Habelschwerdt
place_0270,Hadamar
place_0271,Hadersleben
place_0272,Hagen
place_0274,Halberst
place_0274,Halberstadt
place_0275,Halle
place_0275,Halle a S
place_0275,Halle a/S
place_0276,Ha<lb/>mburg
place_0276,Ham
place_0276,Ham-
place_0276,Hamb
place_0276,Hambourg
place_0276,Hamburg
place_0276,Hamburg
place_0276,Hamburgg
place_0276,Hamburrg
place_0276,Hamubrg
place_0277,Hameln
place_0278,Hamm
place_0279,Hanau
place_0280,Hann
place_0280,Hannov
place_0280,Hannover
place_0280,Hannover
place_0280,Hannovor
place_0280,Hanover
place_0281,Hannover-Linden
place_0281,Linden
place_0282,Harzburg
place_0284,Hechingen
place_0285,Heidelb
place_0285,Heidelberg
place_0286,Heilbronn
place_0287,Heilgenstadt
place_0287,Heiligenstadt
place_0288,Helgoland
place_0289,Helmstedt
place_0290,Helsingfors
place_0291,Hengelo
place_0292,Herford
place_0293,Herisau
place_0294,Hermannsburg
place_0295,Hermannstadt
place_0295,Herrmannstadt
place_0296,Hersfeld
place_0297,Herzberg
place_0298,Herzogenbusch
place_0299,Hilchenbach
place_0300,Hilburghausen
place_0300,Hildburgh
place_0300,Hildburghausen
place_0300,Hildburghausen
place_0300,Hildburghaussen
place_0301,Hildesheim
place_0303,Hirschberg
place_0304,Hof
place_0305,Hoheneggelsen
place_0306,Hohenstein-Ernstthal
place_0307,Holzminden
place_0308,Homberg
place_0309,Homburg
place_0310,Horb
place_0311,Horn bei Hamburg
place_0312,Horst
place_0313,Hoyerswerda
place_0313,Hoyerswerde
place_0315,Höchst
place_0316,Iglo
place_0317,Ilfeld a/H
place_0318,Illingen
place_0319,Ilmenau
place_0320,Ilsenburg
place_0321,Innsbruck
place_0321,Insbruck
place_0322,Inowrazlaw
place_0323,Insterburg
place_0324,Iserlohn
place_0326,Jauer
place_0327,Jena
place_0328,Jever
place_0329,Jägerndorf
place_0330,Jüchen
place_0331,Jülich
place_0332,Jüterbogk
place_0333,Kaiserslautern
place_0334,Kaiserswerth
place_0335,Kalisch
place_0336,Kamieniec pod
place_0336,Kamieniec Podolski
place_0336,Kaminiec Podolski
place_0336,Kaminiec podolski
place_0336,Kaminiec-Podolski
place_0337,Cape Town
place_0337,Capetown
place_0337,Capstadt
place_0337,Kapstadt
place_0338,Carlsb
place_0338,Carlsbad
place_0338,Karlsbad
place_0339,Calsruhe
place_0339,Carlsr
place_0339,Carlsruhe
place_0339,Karlsruhe
place_0340,Kaschau
place_0340,Kassa
place_0340,Kassan
place_0341,Cassel
place_0341,Kassel
place_0342,Kempen
place_0343,Kempten
place_0343,Kempton
place_0344,Kieff
place_0344,Kiew
place_0345,Kiel
place_0346,Kirchberg
place_0347,Kirchheimbolanden
place_0348,Kirn
place_0349,Bad
place_0349,Kissingen
place_0350,Kitzingen
place_0351,Klagenfurt
place_0352,Klausenburg
place_0353,Cleve
place_0353,Kleve
place_0354,Coblenz
place_0354,Cöblenz
place_0354,Koblenz
place_0355,Colberg
place_0355,Kolberg
place_0356,Komotau
place_0357,Konitz
place_0358,Constantinopel
place_0358,Konstantinopel
place_0359,Constanz
place_0359,Konstanz
place_0360,Cop
place_0360,Copenh
place_0360,Copenhagen
place_0360,Copenpenhagen
place_0360,Kopenhagen
place_0361,Korneuburg
place_0362,Cracau
place_0362,Crakau
place_0362,Krakau
place_0363,Crefeld
place_0363,Krefeld
place_0364,Krems
place_0365,Creuznach
place_0365,Kreuznach
place_0366,Kronach
place_0367,Kronstadt
place_0368,Kropp
place_0369,Kulm
place_0370,Kulmbach
place_0371,Coeln
place_0371,Cöln
place_0371,Köln
place_0371,Köln a. Rh
place_0371,Köln a/Rh
place_0372,Köln-Ehrenfeld
place_0373,Koenigsberg
place_0373,Königberg
place_0373,Königsb
place_0373,Königsberg
place_0374,Königsberg i. d. N
place_0374,Königsberg i/d. N
place_0374,Königsberg i/N
place_0375,Koenigsberg i/Pr
place_0375,Königsberg i/P
place_0375,Königsberg i/Pr
place_0375,"Königsberg, i/P"
place_0376,Cöslin
place_0376,Köslin
place_0377,Köthen
place_0378,Kötzschenbroda
place_0379,La Chaux-de-Fonds
place_0380,Lahr
place_0381,Laibach
place_0382,Landau
place_0383,Landsberg
place_0383,Landsberg a. d. W
place_0383,Landsberg a/W
place_0384,Landshut
place_0385,Langenbielau
place_0386,Langensalsa
place_0386,Langensalz
place_0386,Langensalza
place_0386,Langensalze
place_0386,Laugensalza
place_0387,Lauban
place_0388,Lausanne
place_0390,Leer
place_0391,Leiden
place_0392,<sic>Leip</sic>
place_0392,Keipzig
place_0392,Leip
place_0392,Leip-
place_0392,Leipcig
place_0392,Leipig
place_0392,Leipsig
place_0392,Leipz
place_0392,Leipzig
place_0392,Leipzig
place_0392,Leizig
place_0392,Lpz
place_0392,Lpzg
place_0392,zig
place_0393,Leipzig-Eutritzsch
place_0394,Gohlis
place_0394,Gohlis-Leipzig
place_0394,Leipzig-Gohlis
place_0396,Leipzig-Neureudnitz
place_0396,"Leipzig, Neureudnitz"
place_0397,Leipzig-Neuschleussig
place_0398,Leipzig-Neustadt
place_0398,Neustadt-Leipzig
place_0399,Leipzig-Reudnitz
place_0399,Reudnitz
place_0399,Reudnitz-Leipzig
place_0400,Leitmeritz
place_0401,Lemb
place_0401,Lemberg
place_0402,Lemgo
place_0403,Lengenfeld
place_0404,Leoben
place_0405,Leobschütz
place_0405,Loebschütz
place_0406,Leuchtenberg
place_0407,Leutkirch
place_0408,Libau
place_0409,Liegnitz
place_0410,Lienz
place_0411,Liestal
place_0412,Limburg
place_0413,Lindau
place_0414,Lingen
place_0415,Lintz
place_0415,Linz
place_0415,Linz a/D
place_0416,Lippstadt
place_0417,Lissa
place_0418,Locle
place_0419,London
place_0420,Luckenwalde
place_0421,Ludwigsburg
place_0422,Ludwigshafen
place_0423,Ludwigslust
place_0424,Luxemburg
place_0425,Luzern
place_0426,Lyck
place_0427,Löbau
place_0427,Löbau i/S
place_0428,Lössnitz
place_0429,Löwenberg
place_0430,Lübben
place_0431,Lübeck
place_0432,Lüben
place_0433,Lüneburg
place_0434,Lüttich
place_0436,Magdburg
place_0436,Magde
place_0436,Magdeb
place_0436,Magdebg
place_0436,Magdeburg
place_0436,Magdehurg
place_0436,Mageburg
place_0437,Mail
place_0437,Mailand
place_0437,Mil
place_0437,Milan
place_0437,Milani
place_0437,Milano
place_0438,Main
place_0438,Mains
place_0438,Mainx
place_0438,Mainz
place_0438,Mainz
place_0438,Maïnz
place_0439,Malchin
place_0440,Hannheim
place_0440,Manheim
place_0440,Mannh
place_0440,Mannheim
place_0440,Mannhein
place_0441,Mansfeld
place_0442,Marburg
place_0442,Marburg
place_0443,Marienburg
place_0444,Marienwerder
place_0445,Markneukirchen
place_0446,Mediasch
place_0447,Mehlis
place_0448,Meiningen
place_0449,Meissen
place_0450,Meldorf
place_0451,Memmingen
place_0452,Meran
place_0453,Mergentheim
place_0454,Merseburg
place_0455,Metz
place_0457,Mexico
place_0457,Mexiko
place_0458,Michelstadt
place_0459,Middelburg
place_0460,Miesbach
place_0461,Milwaukee
place_0462,Mind
place_0462,Minden
place_0463,Mitau
place_0464,Mittweida
place_0464,Mittweide
place_0465,Mosbach
place_0466,Moscau
place_0466,Moskau
place_0466,Moskwa
place_0467,Mostar
place_0468,Mostěnitz
place_0468,Moštěnitz
place_0468,Mostěnitz-Prerau
place_0468,Moštěnitz-Prerau
place_0468,Ober-Moštěnitz
place_0468,Prerau
place_0469,M. Ostrau
place_0469,Mähr. Ostrau
place_0469,Mähr.-Ostrau
place_0470,Mähr.-Trübau
place_0470,Trübau
place_0471,Mölln
place_0472,Mühlhausen
place_0472,Mühlhausen i/Th
place_0473,Mühlhausen i/Els
place_0473,Mülhausen
place_0473,Mülhausen i/E
place_0473,Mülhausen i/Els
place_0474,Mülheim
place_0475,Mün
place_0475,Münch
place_0475,Munchen
place_0475,München
place_0475,München
place_0475,Münchnn
place_0476,Gladbach
place_0476,M.
place_0476,M. Gladbach
place_0476,M.-Gladbach
place_0477,Minster
place_0477,Münster
place_0477,Münster i/W
place_0478,Münsterberg
place_0480,Naugard
place_0481,Naumburg
place_0481,Naumburg a./S
place_0481,Naumburg a/S
place_0482,Neapel
place_0483,Neisse
place_0484,Neu-Ulm
place_0485,Neubrandenburg
place_0486,Neuburg
place_0486,Neuburg a/D
place_0487,Neudamm
place_0488,Neuenburg
place_0489,Neuhaldensleben
place_0490,Neu Ruppin
place_0490,Neu-Ruppin
place_0490,Neuruppin
place_0490,Ruppin
place_0491,Neusalz a/O
place_0492,Neu-Sandec
place_0493,Neus
place_0493,Neuss
place_0494,Neustadt
place_0495,Neustadt a/S
place_0495,Neustadt o/S
place_0495,Neustadt o/Schl
place_0496,Neustadt a. d. O
place_0496,Neustadt a. O
place_0498,Neustettin
place_0499,Neustrelitz
place_0500,Neutitschein
place_0501,Neuwied
place_0502,New York
place_0502,New-York
place_0503,Nieder-Schönhausen
place_0504,Nikolsburg
place_0505,Nizza
place_0506,Norden
place_0507,Nordhausen
place_0508,Nossen
place_0509,Nördlingen
place_0510,Nürnb
place_0510,Nürnberg
place_0511,Ob.-Glogau
place_0511,Ober-Glogau
place_0511,Oberglogau
place_0512,Oberhausen
place_0513,Oberneudorf-Buchen
place_0514,Oberstein
place_0515,Odessa
place_0516,Oedenburg
place_0517,Oels
place_0518,Oelsnitz
place_0519,Offenb
place_0519,Offenbach
place_0519,Offenbach a/M
place_0520,Offenburg
place_0521,Ohlau
place_0522,Oldenburg
place_0523,Oldenb
place_0524,Olmütz
place_0525,Oppeln
place_0526,Oppenheim
place_0527,Oranienburg
place_0528,Oravicza
place_0529,Oschersleben
place_0530,Osnabrück
place_0531,Osterburg
place_0532,Osterode
place_0533,Osterwieck
place_0534,Ostrowo
place_0535,Paderborn
place_0536,Parchim
place_0537,Paris
place_0537,Paris
place_0538,Pasewalk
place_0539,Passau
place_0540,Peiskretscham
place_0541,Perjámos
place_0542,Pest
place_0542,Pesth
place_0544,Pforzheim
place_0545,Philadelphia
place_0546,Pilsen
place_0547,Pirna
place_0548,Plauen
place_0548,Plauen i/V
place_0549,Pless
place_0551,Posen
place_0552,Potschappel
place_0552,Potschappel
place_0553,Pots dam
place_0553,Potsd
place_0553,Potsdam
place_0553,Potsdam
place_0554,Prag
place_0554,Prag
place_0556,Prenzlau
place_0557,Pressburg
place_0558,Pritzwalk
place_0559,Przemysl
place_0559,Przemyśl
place_0560,Pössneck
place_0561,Quedlinb
place_0561,Quedlinburg
place_0562,Querfurt
place_0563,Radebeul
place_0564,Rastadt
place_0564,Rastatt
place_0565,Rathenow
place_0566,Ratibor
place_0567,Ratzeburg
place_0568,Ravensburg
place_0569,Regenburg
place_0569,Regensburg
place_0570,Reichenbach
place_0570,Reichenbach i/V
place_0571,Reichenberg
place_0572,Remscheid
place_0573,Rendsburg
place_0574,Reutlingen
place_0575,Reval
place_0576,Rheinbach
place_0577,Rheydt
place_0578,Ried
place_0580,Riega
place_0580,Riga
place_0581,Rinteln
place_0582,Rixdorf
place_0583,Rochlitz
place_0585,Rogasen
place_0587,Ronneburg
place_0589,Rostock
place_0590,Rothenburg
place_0591,Rottenburg
place_0591,Rottenburg a/N
place_0592,Rotterd
place_0592,Rotterdam
place_0593,Rouen
place_0594,Rudolstadt
place_0595,Ruhrort
place_0597,Saalfeld
place_0598,Saarbrück
place_0598,Saarbrücken
place_0599,Saarlouis
place_0600,Saaz
place_0601,Sagan
place_0602,Salzb
place_0602,Salzb.
place_0602,Salzburg
place_0603,Salzungen
place_0604,Salzwedel
place_0605,Sangerhausen
place_0606,St Gallen
place_0606,St.
place_0606,St. Gallen
place_0607,St. Ingbert
place_0608,Petersburg
place_0608,St. Petersb
place_0608,St. Petersburg
place_0609,St. Pölten
place_0610,Saulgau
place_0611,Schaffhausen
place_0612,Schandau
place_0613,Schleitz
place_0613,Schleiz
place_0614,Schleswig
place_0615,Schlesingen
place_0615,Schlessingen
place_0615,Schleusingen
place_0615,Schleusinger
place_0616,Schloss-Chemnitz
place_0617,Schmalkalden
place_0618,Schneeb
place_0618,Schneeberg
place_0620,Schwabach
place_0621,Schweidnitz
place_0622,Schweinfurt
place_0623,Schwelm
place_0624,Schwerin
place_0624,Schwerin i/M
place_0625,Schwiebus
place_0626,Schw.
place_0626,Schw. Gemünd
place_0626,Schw. Gmünd
place_0626,Schw.-Gmünd
place_0626,Schwäb. Gmünd
place_0627,Schw. Hall
place_0627,Schwäb. Hall
place_0627,Schwäbisch Hall
place_0628,Schönbach b/Eger
place_0629,Schoenebeck
place_0629,Schönebeck
place_0630,Schönlinde
place_0631,Segeberg
place_0632,Siegen
place_0633,Noest
place_0633,Soest
place_0634,Sofia
place_0635,Solingen
place_0636,Solothurn
place_0637,Sommerfeld
place_0638,Sondersh
place_0638,Sondershausen
place_0639,Sonnenberg
place_0640,Sorau
place_0641,Spandau
place_0642,Speier
place_0642,Speyer
place_0643,Spremberg
place_0645,Stade
place_0646,Stallupönen
place_0647,Stargard
place_0648,Strassfurt
place_0649,Staufen
place_0649,Stauffen
place_0650,Stendal
place_0651,Stettin
place_0652,Steyr
place_0653,Stockholm
place_0654,Stolberg
place_0655,Stolp
place_0656,Stral-
place_0656,Stralsund
place_0657,Strasbourg
place_0657,Strassburg
place_0657,Strassburg i/E
place_0658,Straubing
place_0659,Strehlen
place_0660,Striegau
place_0660,Strigau
place_0661,Stuhlweissenburg
place_0662,Stuttg
place_0662,Stuttgart
place_0662,Stutttgart
place_0662,Suttgart
place_0663,Sulza
place_0664,Swinemünde
place_0664,Swinewinde
place_0665,Szegedin
place_0666,Tangermünde
place_0669,Tarnow
place_0670,Tauberbischofsheim
place_0671,Temesvar
place_0672,Teplitz
place_0673,Teschen
place_0674,Teterow
place_0676,Thale
place_0677,Thorn
place_0678,Thun
place_0679,Tilburg
place_0680,Tilsit
place_0681,Tirnau
place_0682,Tondern
place_0683,Torgau
place_0684,Trautenau
place_0685,Trebitsch
place_0687,Trier
place_0688,Triest
place_0689,Tr
place_0689,Troppau
place_0690,Turin
place_0691,Tyrnau
place_0692,Tölz
place_0693,Tübingen
place_0694,Türkheim
place_0695,Uetersen
place_0695,Ütersen
place_0696,Ulm
place_0697,Unna
place_0698,Utrecht
place_0699,Venedig
place_0700,Verden
place_0701,Verona
place_0702,Veszprim
place_0703,Vevey
place_0705,Wadowice
place_0706,Waiblingen
place_0707,Waldenburg
place_0708,Waldenburg i/Schl
place_0709,Waldheim
place_0710,Waldsee
place_0711,Warasdin
place_0712,Warburg
place_0713,Warendorf
place_0714,Warmbrunn
place_0715,Varsovie
place_0715,Wars
place_0715,Warschau
place_0716,Wasserburg
place_0717,Weida
place_0718,Weiden
place_0719,Weilburg
place_0720,Weimar
place_0721,Weinheim
place_0722,Weipert
place_0723,Weissenfels
place_0725,Wels
place_0726,Werdau
place_0727,Werl
place_0728,Wernigerode
place_0729,Werschetz
place_0730,Wesel
place_0731,Vienna
place_0731,Wien
place_0731,Wien
place_0731,wien
place_0731,Wién
place_0731,Wieu
place_0732,Wien-Währing
place_0733,Wiener-Neustadt
place_0734,Wiesbaden
place_0735,Wilhelmshaven
place_0736,Wilna
place_0737,Winterthur
place_0737,Wintherthur
place_0738,Wismar
place_0738,Wismar i/M
place_0739,Witten
place_0740,Wittenberg
place_0741,Wittstock
place_0742,Wolfenb
place_0742,Wolfenbütt
place_0742,Wolfenbüttel
place_0744,Worms
place_0745,Wriezen
place_0746,Wurzen
place_0748,Würzburg
place_0749,Yverdon
place_0750,Zabern
place_0751,Agram
place_0752,Zara
place_0753,Zeitz
place_0754,Zerbst
place_0756,Ziegenhals
place_0757,Zittau
place_0758,Znaim
place_0759,Zofingen
place_0760,Zschopau
place_0761,Zweibrücken
place_0762,Zwettl
place_0763,Zwickau
place_0764,Zwolle
place_0765,Züllichau
place_0766,Zülz
place_0767,Zurich
place_0767,Zürich
place_0768,Zürich-Oberstrass
